level1,level2,level3,occurrences
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,5. ΑΠΛΙΚΕΣ ΤΟΙΧΟΥ,,2
E. ΕΞΩΤΕΡΙΚΟΙ ΣΥΝΕΡΓΑΤΕΣ,1. ΒΛΑΒΕΣ IT,3. SOFTWARE,2
C. ΥΔΡΑΥΛΙΚΑ,12. ΕΞΑΕΡΙΣΜΟΣ ΜΠΑΝΙΟΥ,,2
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΒΟΥΛΩΜΕΝΗ ΜΠΑΝΙΕΡΑ,,2
C. ΥΔΡΑΥΛΙΚΑ,6. ΠΛΑΤΩ,,2
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,D.1 ΜΗΧΑΝΗΜΑΤΑ ΚΟΥΖΙΝΑΣ,7. ΦΡΙΤΕΖΑ,2
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,D.1 ΜΗΧΑΝΗΜΑΤΑ ΚΟΥΖΙΝΑΣ,1. ΑΠΟΡΡΟΦΗΤΗΡΕΣ,2
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,18. ΥΔΡΟΡΡΟΗ ΜΠΑΛΚΟΝΙΟΥ,,2
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,8. ΦΙΛΤΡΑ ΚΛΙΜΑΤΙΣΤΙΚΟΥ,,2
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,8. ΦΩΤΙΣΤΙΚΑ ΚΟΜΟΔΙΝΟΥ,,2
C. ΥΔΡΑΥΛΙΚΑ,11. ΦΩΤΙΣΜΟΣ ΑΝΕΛΚΥΣΤΗΡΩΝ,,2
Α. ΣΥΝΤΗΡΗΣΗ,5. ΠΕΡΓΚΟΛΑ,,1
Α. ΣΥΝΤΗΡΗΣΗ,24. ΦΥΛΛΟ ΑΛΟΥΜΙΝΙΟΥ,,1
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,1. ΒΛΑΒΕΣ ΕΞΟΠΛΙΣΜΟΥ,,1
Α. ΣΥΝΤΗΡΗΣΗ,4. ΚΑΡΕΚΛΑ ΜΠΑΛΚΟΝΙΟΥ,,1
ΜΠΑΤΑΡΙΑ ΒΡΥΣΗΣ ΝΤΟΥΣ,ΜΠΑΝΙΕΡΑ,,1
C. ΥΔΡΑΥΛΙΚΑ,13. ΦΩΤΙΣΜΟΣ ΑΝΕΛΚΙΣΤΗΡΩΝ,,1
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,17. ΒΑΤΡΑΧΟΣ ΑΠΟΧΕΤΕΥΣΗΣ,,1
C. ΥΔΡΑΥΛΙΚΑ,8. ΦΙΛΤΡΑ ΚΛΙΜΑΤΙΣΤΙΚΟΥ,,1
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,1. SAFE BOX,,1
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,15. ΨΥΚΤΕΣ ΚΡΑΣΙΟΥ LOBBY BAR,,1
C. ΥΔΡΑΥΛΙΚΑ,1. ΑΠΠΟΡΟΦΗΤΗΡΕΣ,ΦΟΥΣΚΕΣ,1
Α. ΣΥΝΤΗΡΗΣΗ,12. ΞΑΠΛΩΣΤΡΕΣ,,1
Α. ΣΥΝΤΗΡΗΣΗ,7. ΝΥΠΤΗΡΑΣ ΜΠΑΝΙΟΥ,,1
C. ΥΔΡΑΥΛΙΚΑ,13. ΒΑΤΡΑΧΟΣ ΑΠΟΧΕΤΕΥΣΗΣ,,1
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,6. ΜΗΧΑΝΗ ESPRESSO,,1
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,13. ΧΑΜΗΛΗ ΤΑΣΗ ΡΕΥΜΑΤΟΣ,,1
Α. ΣΥΝΤΗΡΗΣΗ,3. ΒΑΣΕΙΣ ΟΜΠΡΕΛΑΣ,,1
Α. ΣΥΝΤΗΡΗΣΗ,7. ΤΡΑΠΕΖΙΑ ΕΣΤΙΑΤΟΡΙΟΥ,,1
Α. ΣΥΝΤΗΡΗΣΗ,21. ΤΖΑΜΙ ΜΠΑΝΙΕΡΑΣ,ΝΤΟΥΖΙΕΡΑΣ,1
Α. ΣΥΝΤΗΡΗΣΗ,4. ΠΛΑΚΑΚΙΑ - ΑΡΜΟΙ,,1
Α. ΣΥΝΤΗΡΗΣΗ,ΚΑΘΡΕΠΤΗΣ,,1
Α. ΣΥΝΤΗΡΗΣΗ,6. ΚΑΓΚΕΛΟ ΜΠΑΛΚΟΝΙΟΥ,,1
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,19. ΔΙΑΡΡΟΗ ΣΩΛΗΝΩΣΕΩΝ,,1
E. ΕΞΩΤΕΡΙΚΟΙ ΣΥΝΕΡΓΑΤΕΣ,E1. ΚΗΠΟΙ,8. ΣΧΑΡΑ AXION,1
Α. ΣΥΝΤΗΡΗΣΗ,ΒΛΑΒΗ COMPUTER ROOM,,1
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,D.1 ΜΗΧΑΝΗΜΑΤΑ ΚΟΥΖΙΝΑΣ,5. ΤΗΛΕΦΩΝΟ,1
Α. ΣΥΝΤΗΡΗΣΗ,ΕΞΩΤΕΡΙΚΟ ΦΩΣ ΒΕΡΑΝΤΑΣ,,1
C. ΥΔΡΑΥΛΙΚΑ,ΒΟΥΛΩΜΕΝΗ ΜΠΑΝΙΕΡΑ,,1
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΠΡΟΒΟΛΕΙΣ-ΦΩΤΙΣΜΟΣ ΕΙΣΟΔΟΥ ΞΕΝΟΔΟΧΕΙΟΥ,,1
Α. ΣΥΝΤΗΡΗΣΗ,ΦΩΣ ΜΠΑΛΚΟΝΙΟΥ,,1
Α. ΣΥΝΤΗΡΗΣΗ,26. ΠΥΡΑΣΦΑΛΕΙΑ,ΦΘΟΡΑ-ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΠΕΤΣΕΤΟΘΗΚΗΣ,1
E. ΕΞΩΤΕΡΙΚΟΙ ΣΥΝΕΡΓΑΤΕΣ,E1. ΚΗΠΟΙ,,1
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,17. ΠΥΡΑΣΦΑΛΕΙΑ,,1
Α. ΣΥΝΤΗΡΗΣΗ,11. ΠΟΡΤΑ ΝΤΟΥΛΑΠΑΣ,,1
C. ΥΔΡΑΥΛΙΚΑ,16. ΒΑΤΡΑΧΟΣ ΑΠΟΧΕΤΕΥΣΗΣ,,1
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,D.1 ΜΗΧΑΝΗΜΑΤΑ ΚΟΥΖΙΝΑΣ,21. ΗΛΙΑΚΑ ΠΑΝΕΛ,1
C. ΥΔΡΑΥΛΙΚΑ,10. ΠΑΡΑΘΥΡΟ ΜΠΑΝΙΟΥ,,1
C. ΥΔΡΑΥΛΙΚΑ,17. ΦΩΤΙΣΜΟΣ ΕΙΣΟΔΟΥ ΞΕΝΟΔΟΧΕΙΟΥ,,1
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,21.a ΠΥΡΑΝΙΧΝΕΥΤΗΣ,,1
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,12. ΗΛΕΚΤΡΟΔΟΤΗΣΗ ΠΙΣΙΝΑΣ,,1
Α. ΣΥΝΤΗΡΗΣΗ,8. ΠΟΡΤΑ ΜΠΑΝΙΟΥ,,1
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,17. ΥΔΡΟΡΟΗ ΜΠΑΛΚΟΝΙΟΥ,,1
